location,latitude,longitude,status
נחל חצץ,30.890481,34.8720074,success
איזור חורבת כרך,32.677312,35.071428,success
חרבת קנובה,31.873511,35.012192,success
קרני חיטין,32.7962185,35.4696256,success
מצפור המוחרקה,32.672635,35.088203,success
אזור סלעית צור נתן,32.02456,34.80623,success
אזור סלעית,32.2428207,35.0508118,success
נחל כלח,32.7426832,35.0239552,success
נחל רקפת,32.658332,35.0697829,success
נחל אורן,32.706684,35.0512687,success
פארק בריטניה,31.6888919,34.927992,success
נחל מערות,32.67120145,34.96521595772596,success
להבים,31.3703233,34.8136886,success
יער יתיר שביל החלמוניות,31.328255,35.030879,success
ראש פינה,32.968215,35.5438245,success
נחל צביה בעמק  בית שאן,47.16498,9.50867,success
מערת פער,33.0310083,35.3859111,success
הר הקפיצה,32.6823736,35.3012298,success
רכס בשנית,33.046012250000004,35.847715687298056,success
מצד עתרת - הירדן ההררי,33.004663750000006,35.627800526492045,success
שמורת אלוני אבא,32.728581,35.170717,success
חוף השרון,32.2167746,34.8224118,success
תל מלוט,32.0123111,34.7947405,success
מעל גב קינה,31.197531,35.167225,success
פארק הרצליה,32.168143349999994,34.82259859205291,success
נחל גובתה עליון,33.275262,35.753224,success
תל צרעה,31.7746235,34.9850863,success
עין כנף,32.8630791,35.7128601,success
נחל כנף,32.8568974,35.7062747,success
מצוק שילת,31.9249571,35.0123101,success
חורשת הארבעים,31.959353,34.899352,success
גן לאומי אפולוניה,32.193280200000004,34.806387604704966,success
הר כפיר,32.950183,35.4089091,success
מירון,32.9886409,35.440278,success
נחל מורן,33.0117511,35.3745124,success
בית ג׳ן,33.3144869,35.8794078,success
הר הלל,32.9596126,35.4152454,success
שמורת אירוס ירוחם,31.02103115,34.97414100421804,success
שמורת מתת,33.043460499999995,35.372874893663834,success
איילת השחר,33.0215976,35.5759521,success
ירידה לנחל יגור,32.934427,35.222186,success
נחל לוץ,30.4277684,34.3511152,success
קבר שיח מרזוק,32.348679,35.024841,success
בורות לוץ,30.5137272,34.6085472,success
גבעת הדקטלוריזות,32.166904,34.875428,success
תל ערד,31.2799119,35.1255017,success
נחל סלעית,30.7227642,35.1820952,success
פארק יקום,32.24868,34.84219,success
נחל דישון,33.0456624,35.6001998,success
